start_date,end_date,brand,audience,FINAL-unaided_brand_awareness_score,FINAL-aided_brand_awareness_score,FINAL-brand_consideration,FINAL-overall_brand_consideration
"Apr 21, 2020","Apr 21, 2020",Rummy Circle,Rummy,2.9,1.4,1.4,2.1
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),Rummy,2.0,2.5,2.5,2.2
"Apr 20, 2020","Apr 20, 2020",Adda52,Rummy,2.0,2.5,2.5,2.2
"Apr 20, 2020","Apr 20, 2020",Dream 11,Rummy,4.0,2.5,2.5,3.2
"Apr 20, 2020","Apr 20, 2020",Rummy Circle,Rummy,2.0,2.5,2.5,2.2
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),overall,3.3,2.0,2.0,2.6
"May 5, 2020 ","May 5, 2020 ",Adda52,overall,1.7,4.0,4.0,2.9
"May 5, 2020 ","May 5, 2020 ",Dream 11,overall,1.7,2.0,2.0,1.9
"May 5, 2020 ","May 5, 2020 ",Rummy Circle,overall,3.3,2.0,2.0,2.6
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),overall,4.0,2.5,2.5,3.2
"Apr 28, 2020","Apr 28, 2020",Adda52,overall,2.0,2.5,2.5,2.2
"Apr 28, 2020","Apr 28, 2020",Dream 11,overall,2.0,2.5,2.5,2.2
"Apr 28, 2020","Apr 28, 2020",Rummy Circle,overall,2.0,2.5,2.5,2.2
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),overall,4.0,4.0,4.0,4.0
"Apr 22, 2020","Apr 22, 2020",Adda52,overall,2.0,2.0,2.0,2.0
"Apr 22, 2020","Apr 22, 2020",Dream 11,overall,2.0,2.0,2.0,2.0
"Apr 22, 2020","Apr 22, 2020",Rummy Circle,overall,2.0,2.0,2.0,2.0
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),overall,6.17,6.33,6.1,6.2
"Apr 21, 2020","Apr 21, 2020",Adda52,overall,1.1,1.43,1.13,1.2
"Apr 21, 2020","Apr 21, 2020",Dream 11,overall,1.1,1.1,1.63,1.2
"Apr 21, 2020","Apr 21, 2020",Rummy Circle,overall,1.6,1.1,1.13,1.33
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),overall,3.67,2.9,3.27,3.33
"Apr 20, 2020","Apr 20, 2020",Adda52,overall,1.47,2.97,2.37,2.07
"Apr 20, 2020","Apr 20, 2020",Dream 11,overall,2.9,2.13,2.37,2.53
"Apr 20, 2020","Apr 20, 2020",Rummy Circle,overall,1.93,2.0,2.03,1.97
"Apr 19, 2020","Apr 19, 2020",Mobile Premier League (MPL),overall,4.0,3.1,4.3,3.8
"Apr 19, 2020","Apr 19, 2020",Adda52,overall,1.0,2.5,1.4,1.5
"Apr 19, 2020","Apr 19, 2020",Dream 11,overall,4.0,1.9,2.9,3.1
"Apr 19, 2020","Apr 19, 2020",Rummy Circle,overall,1.0,2.5,1.4,1.5
"Apr 17, 2020","Apr 17, 2020",Mobile Premier League (MPL),overall,4.0,2.3,1.7,3.0
"Apr 17, 2020","Apr 17, 2020",Adda52,overall,1.0,2.3,2.5,1.7
"Apr 17, 2020","Apr 17, 2020",Dream 11,overall,2.0,2.3,2.5,2.2
"Apr 17, 2020","Apr 17, 2020",Rummy Circle,overall,3.0,3.1,3.3,3.1
