start_date,end_date,brand,audience,keyword,score
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),Rummy,Community based gaming,2.5
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),Rummy,Tournament ,2.5
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),overall,Rewards,5.4
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),overall,Engagement,2.5
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),overall,Community based gaming,1.1
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),overall,Tournament ,1.1
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),overall,Rewards,3.7
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),overall,Engagement,2.0
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),overall,Community based gaming,2.5
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),overall,Tournament ,1.8
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),overall,Rewards,2.0
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),overall,Engagement,4.0
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),overall,Community based gaming,2.0
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),overall,Tournament ,2.0
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),overall,Rewards,2.5
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),overall,Engagement,2.5
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),overall,Community based gaming,2.5
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),overall,Tournament ,2.5
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),overall,Rewards,4.0
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),overall,Engagement,2.0
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),overall,Community based gaming,2.0
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),overall,Tournament ,2.0
"Apr 19, 2020","Apr 19, 2020",Mobile Premier League (MPL),overall,Rewards,2.9
"Apr 19, 2020","Apr 19, 2020",Mobile Premier League (MPL),overall,Engagement,2.9
"Apr 19, 2020","Apr 19, 2020",Mobile Premier League (MPL),overall,Community based gaming,2.1
"Apr 19, 2020","Apr 19, 2020",Mobile Premier League (MPL),overall,Tournament ,2.1
"Apr 17, 2020","Apr 17, 2020",Mobile Premier League (MPL),overall,Rewards,2.5
"Apr 17, 2020","Apr 17, 2020",Mobile Premier League (MPL),overall,Engagement,1.2
"Apr 17, 2020","Apr 17, 2020",Mobile Premier League (MPL),overall,Community based gaming,1.2
"Apr 17, 2020","Apr 17, 2020",Mobile Premier League (MPL),overall,Tournament ,5.0
"Apr 16, 2020","Apr 16, 2020",Mobile Premier League (MPL),overall,Rewards,1.7
"Apr 16, 2020","Apr 16, 2020",Mobile Premier League (MPL),overall,Engagement,3.3
"Apr 16, 2020","Apr 16, 2020",Mobile Premier League (MPL),overall,Community based gaming,3.3
"Apr 16, 2020","Apr 16, 2020",Mobile Premier League (MPL),overall,Tournament ,1.7
"Apr 15, 2020","Apr 15, 2020",Mobile Premier League (MPL),overall,Rewards,3.6
"Apr 15, 2020","Apr 15, 2020",Mobile Premier League (MPL),overall,Engagement,2.9
"Apr 15, 2020","Apr 15, 2020",Mobile Premier League (MPL),overall,Community based gaming,2.1
"Apr 15, 2020","Apr 15, 2020",Mobile Premier League (MPL),overall,Tournament ,1.4
"May 15, 2020","May 15, 2020",Mobile Premier League (MPL),overall,Rewards,2.0
"May 15, 2020","May 15, 2020",Mobile Premier League (MPL),overall,Engagement,2.0
"May 15, 2020","May 15, 2020",Mobile Premier League (MPL),overall,Community based gaming,4.0
"May 15, 2020","May 15, 2020",Mobile Premier League (MPL),overall,Tournament ,2.0
